token,search_terms,clicks,spend,sales,orders,cvr,acos,cpc,token_type,already_negative,click_share,sales_share,relative_cvr,issue_zero_sales,issue_low_relevancy,issue_high_spend,score,recommendation,reason
itchy skin,11,173,367.98,1049.58,43,0.24855491329479767,0.3505973818098668,2.1270520231213874,word_pair,False,0.07187370170336518,0.07513416815742396,1.0779669843253656,False,False,False,4.0,Monitor,traffic present but evidence is weaker
skin relief,8,172,363.14000000000004,999.6,41,0.23837209302325582,0.3632853141256503,2.111279069767442,word_pair,False,0.07145824678022435,0.07155635062611806,1.0338047349675257,False,False,False,4.0,Monitor,traffic present but evidence is weaker
dry skin,43,68,152.39000000000001,474.80999999999995,19,0.27941176470588236,0.3209494324045408,2.241029411764706,word_pair,False,0.028250934773577065,0.033989266547406076,1.2117912029676736,False,False,False,4.0,Monitor,traffic present but evidence is weaker
medicated shampoo,30,63,137.24,449.82,17,0.2698412698412698,0.3050998177048597,2.1784126984126986,word_pair,False,0.026173660157872872,0.03220035778175313,1.1702845702845701,False,False,False,4.0,Monitor,traffic present but evidence is weaker
allergy shampoo,19,56,124.84,549.78,23,0.4107142857142857,0.2270726472407145,2.2292857142857145,word_pair,False,0.023265475695886995,0.03935599284436494,1.7812419562419561,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo allergies,5,53,85.19999999999999,399.84,16,0.3018867924528302,0.21308523409363744,1.6075471698113206,word_pair,False,0.02201911092646448,0.028622540250447227,1.309263980962094,False,False,False,4.0,Monitor,traffic present but evidence is weaker
allergies itching,1,48,74.63,324.87,13,0.2708333333333333,0.22972265829408683,1.5547916666666666,word_pair,False,0.019941836310760283,0.023255813953488372,1.174587087087087,False,False,False,4.0,Monitor,traffic present but evidence is weaker
dog allergy,9,36,83.2,349.86,15,0.4166666666666667,0.23780940947807694,2.3111111111111113,word_pair,False,0.014956377233070212,0.025044722719141325,1.807057057057057,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo yeast,22,33,76.73,199.92,8,0.24242424242424243,0.38380352140856344,2.325151515151515,word_pair,False,0.013710012463647694,0.014311270125223614,1.0513786513786514,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo skin,10,32,74.96,224.91000000000003,9,0.28125,0.3332888711039971,2.3425,word_pair,False,0.013294557540506855,0.016100178890876567,1.2197635135135134,False,False,False,4.0,Monitor,traffic present but evidence is weaker
anti itch,15,32,71.75,274.89,11,0.34375,0.26101349630761395,2.2421875,word_pair,False,0.013294557540506855,0.01967799642218247,1.490822072072072,False,False,False,4.0,Monitor,traffic present but evidence is weaker
skin conditions,1,22,51.55,174.93,7,0.3181818181818182,0.2946893042931458,2.3431818181818183,word_pair,False,0.009140008309098464,0.012522361359570662,1.37993447993448,False,False,False,4.0,Monitor,traffic present but evidence is weaker
itch dog,6,22,49.760000000000005,174.93,7,0.3181818181818182,0.28445663979877667,2.261818181818182,word_pair,False,0.009140008309098464,0.012522361359570662,1.37993447993448,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo dog,17,21,45.12,124.94999999999999,5,0.23809523809523808,0.3611044417767107,2.1485714285714286,word_pair,False,0.008724553385957623,0.008944543828264758,1.0326040326040324,False,False,False,4.0,Monitor,traffic present but evidence is weaker
yeast shampoo,8,19,44.76,174.93,7,0.3684210526315789,0.2558737780826616,2.35578947368421,word_pair,False,0.007893643539675945,0.012522361359570662,1.5978188715030819,False,False,False,4.0,Monitor,traffic present but evidence is weaker
relief shampoo,12,19,42.08,124.94999999999999,5,0.2631578947368421,0.3367747098839536,2.214736842105263,word_pair,False,0.007893643539675945,0.008944543828264758,1.1412991939307728,False,False,False,4.0,Monitor,traffic present but evidence is weaker
skin shampoo,10,17,39.08,124.94999999999999,5,0.29411764705882354,0.312765106042417,2.2988235294117647,word_pair,False,0.007062733693394266,0.008944543828264758,1.2755696873343931,False,False,False,4.0,Monitor,traffic present but evidence is weaker
dog shampoos,11,17,36.29,124.94999999999999,5,0.29411764705882354,0.2904361744697879,2.1347058823529412,word_pair,False,0.007062733693394266,0.008944543828264758,1.2755696873343931,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo smelly,13,16,34.44,99.96,4,0.25,0.3445378151260504,2.1525,word_pair,False,0.006647278770253427,0.007155635062611807,1.0842342342342342,False,False,False,4.0,Monitor,traffic present but evidence is weaker
baking soda,4,14,32.050000000000004,124.94999999999999,5,0.35714285714285715,0.2565026010404162,2.2892857142857146,word_pair,False,0.005816368923971749,0.008944543828264758,1.5489060489060489,False,False,False,4.0,Monitor,traffic present but evidence is weaker
fungal shampoo,7,14,28.97,74.97,4,0.2857142857142857,0.38642123516073096,2.0692857142857144,word_pair,False,0.005816368923971749,0.005366726296958855,1.239124839124839,False,False,False,4.0,Monitor,traffic present but evidence is weaker
anti yeast,8,13,30.32,74.97,3,0.23076923076923078,0.40442843804188344,2.332307692307692,word_pair,False,0.00540091400083091,0.005366726296958855,1.000831600831601,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo itching,8,13,29.930000000000003,74.97,3,0.23076923076923078,0.3992263572095505,2.3023076923076924,word_pair,False,0.00540091400083091,0.005366726296958855,1.000831600831601,False,False,False,4.0,Monitor,traffic present but evidence is weaker
dog wash,13,13,28.26,99.96,4,0.3076923076923077,0.28271308523409366,2.1738461538461538,word_pair,False,0.00540091400083091,0.007155635062611807,1.3344421344421344,False,False,False,4.0,Monitor,traffic present but evidence is weaker
itch shampoo,7,12,28.12,124.94999999999999,5,0.4166666666666667,0.22505002000800323,2.3433333333333333,word_pair,False,0.004985459077690071,0.008944543828264758,1.807057057057057,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo antifungal,6,12,27.73,99.96,3,0.25,0.2774109643857543,2.3108333333333335,word_pair,False,0.004985459077690071,0.007155635062611807,1.0842342342342342,False,False,False,4.0,Monitor,traffic present but evidence is weaker
antifungal antibacterial,7,12,25.73,99.96,3,0.25,0.2574029611844738,2.1441666666666666,word_pair,False,0.004985459077690071,0.007155635062611807,1.0842342342342342,False,False,False,4.0,Monitor,traffic present but evidence is weaker
dog anti,5,11,25.02,74.97,3,0.2727272727272727,0.3337334933973589,2.2745454545454544,word_pair,False,0.004570004154549232,0.005366726296958855,1.1828009828009827,False,False,False,4.0,Monitor,traffic present but evidence is weaker
itching shampoo,8,11,23.919999999999998,99.96,4,0.36363636363636365,0.2392957182873149,2.1745454545454543,word_pair,False,0.004570004154549232,0.007155635062611807,1.577067977067977,False,False,False,4.0,Monitor,traffic present but evidence is weaker
dog itch,3,10,24.32,99.96,4,0.4,0.24329731892757106,2.432,word_pair,False,0.004154549231408392,0.007155635062611807,1.7347747747747748,False,False,False,4.0,Monitor,traffic present but evidence is weaker
bulldog shampoo,7,10,23.6,99.96,4,0.4,0.23609443777511008,2.3600000000000003,word_pair,False,0.004154549231408392,0.007155635062611807,1.7347747747747748,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo medicated,6,10,23.2,74.97,3,0.3,0.30945711617980526,2.32,word_pair,False,0.004154549231408392,0.005366726296958855,1.301081081081081,False,False,False,4.0,Monitor,traffic present but evidence is weaker
itch relief,6,10,23.15,74.97,3,0.3,0.30879018273976255,2.315,word_pair,False,0.004154549231408392,0.005366726296958855,1.301081081081081,False,False,False,4.0,Monitor,traffic present but evidence is weaker
shampoo anti,9,10,22.68,124.94999999999999,5,0.5,0.18151260504201683,2.268,word_pair,False,0.004154549231408392,0.008944543828264758,2.1684684684684683,False,False,False,4.0,Monitor,traffic present but evidence is weaker
hot spot,6,10,22.06,124.94999999999999,5,0.5,0.17655062024809925,2.206,word_pair,False,0.004154549231408392,0.008944543828264758,2.1684684684684683,False,False,False,4.0,Monitor,traffic present but evidence is weaker
